,number,start,end,name,party
0,1,1789,1797,George Washington,Federalist
1,2,1797,1801,John Adams,Federalist
2,3,1801,1809,Thomas Jefferson,Democratic Republican
3,4,1809,1817,James Madison,Democratic Republican
4,5,1817,1825,James Monroe,Democratic Republican
5,6,1825,1829,John Quincy Adams,Democratic Republican
6,7,1829,1837,Andrew Jackson,Democratic
7,8,1837,1841,Martin Van Buren,Democratic
8,9,1841,1841,William Henry Harrison,Whig
9,10,1841,1845,John Tyler,Whig
10,11,1845,1849,James K. Polk,Democratic
11,12,1849,1850,Zachary Taylor,Whig
12,13,1850,1853,Millard Fillmore,Whig
13,14,1853,1857,Franklin Pierce,Democratic
14,15,1857,1861,James Buchanan,Democratic
15,16,1861,1865,Abraham Lincoln,Republican
16,17,1865,1869,Andrew Johnson,Democratic Union
17,18,1869,1877,Ulysses S. Grant,Republican
18,19,1877,1881,Rutherford B. Hayes,Republican
19,20,1881,1881,James A. Garfield,Republican
20,21,1881,1885,Chester A. Arthur,Republican
21,22,1885,1889,Grover Cleveland,Democratic
22,23,1889,1893,Benjamin Harrison,Republican
23,24,1893,1897,Grover Cleveland,Democratic
24,25,1897,1901,William McKinley,Republican
25,26,1901,1909,Theodore Roosevelt,Republican
26,27,1909,1913,William Howard Taft,Republican
27,28,1913,1931,Woodrow Wilson,Democratic
28,29,1921,1923,Warren G. Harding,Republican
29,30,1923,1929,Calvin Coolidge,Republican
30,31,1929,1933,Herbert Hoover,Republican
31,32,1933,1945,Franklin D. Roosevelt,Democratic
32,33,1945,1953,Harry S. Truman,Democratic
33,34,1953,1961,Dwight D. Eisenhower,Republican
34,35,1961,1963,John F. Kennedy,Democratic
35,36,1963,1969,Lyndon B. Johnson,Democratic
36,37,1969,1974,Richard Nixon,Republican
37,38,1974,1977,Gerald Ford,Republican
38,39,1977,1981,Jimmy Carter,Democratic
39,40,1981,1989,Ronald Reagan,Republican
40,41,1989,1993,George H. W. Bush,Republican
41,42,1993,2001,Bill Clinton,Democratic
42,43,2001,2009,George W. Bush,Republican
43,44,2009,2017,Barack Obama,Democratic
44,45,2017,2021,Donald Trump,Republican
45,46,2021,present,Joe Biden,Democratic
